Time,X,Y,Z
6.245,0.12265,-0.23354,0.22514
6.255,0.12238,-0.23364,0.22537
6.264,0.12235,-0.23357,0.22514
6.273,0.12235,-0.23323,0.22553
6.283,0.12181,-0.23361,0.22541
6.292,0.12251,-0.23382,0.22539
6.301,0.12247,-0.23409,0.22531
6.311,0.12247,-0.23386,0.2253
6.32,0.12268,-0.23384,0.22547
6.33,0.12335,-0.23392,0.22548
6.339,0.12288,-0.23376,0.22549
6.348,0.12305,-0.23375,0.22599
6.358,0.12242,-0.23366,0.22587
6.367,0.12311,-0.23382,0.22586
6.376,0.12253,-0.23442,0.22586
6.386,0.12226,-0.23415,0.22569
6.395,0.12234,-0.23404,0.22551
6.405,0.12246,-0.23344,0.22591
6.414,0.12204,-0.23338,0.22553
6.423,0.12253,-0.23321,0.22515
6.433,0.12248,-0.23344,0.22537
6.442,0.12258,-0.23355,0.22539
6.451,0.1228,-0.23356,0.22556
6.461,0.12229,-0.23381,0.22541
6.47,0.12213,-0.23384,0.22581
6.48,0.1219,-0.2335,0.22535
6.489,0.12209,-0.23381,0.22547
6.498,0.122,-0.234,0.22565
6.508,0.12188,-0.23436,0.2255
6.517,0.12176,-0.23414,0.22523
6.526,0.12218,-0.2337,0.22538
